FullID,Population,IndID,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,Total_Reads,Total_corr,180knobreads,180knob%,180knobMB,180knobuncorMB,TR1total,TR1%,TR1MB,TR1uncorMB,CentCreads,CentC%,CentCMB,CentCuncorMB,Cpreads,CP%,CPMB,CPuncorMB,mtreads,mt%,mtMB,mtuncorMB,cDNAreads,cDNA%,cDNAMB,cDNAuncorMB,TotallTereads,TotallTe%,TotallTeMB,TotallTeuncorMB,TotFTereads,TotFTe%,TotFTeMB,TotFTeuncorMB,CRMallreads,CRMall%,CRMallMB
RIMMA0431.1,RIMMA0431,1,0,0,mays,SAH,1,2900,2.455,1228840,1123794,16659,1.482389121,36.39265292,33.28166808,2188,0.194697605,4.779826196,4.37122815,4771,0.424544,10.4225552,9.531594837,92086,8.194206411,201.1677674,183.9711679,41206,3.666686243,90.01714727,82.32213307,63840,5.680756438,139.4625705,127.5407702,771864,68.68376233,1686.186365,1542.044627,189271,12767970.12,413.474627,378.1292154,3749.333333,0.333631727,8.190658905
RIMMA0433.1,RIMMA0433,1,0.4375,0,mays,ML,1,457,3.15,1831068,1692784,160750,9.49619089,299.130013,276.5394294,27827,1.643860055,51.78159174,47.8709966,4423,0.261285551,8.230494853,7.60892004,128041,7.563930188,238.2638009,220.2698917,53569,3.164550232,99.68333231,92.15515208,84715,5.004477831,157.6410517,145.7358492,1143944,67.57767087,2128.696632,1967.935434,339558,3575728.457,631.8630729,584.1441716,5405.166667,0.319306342,10.05814977
RIMMA0436.1,RIMMA0436,1,1,1,mays,SAH,1,2200,2.87,1453289,1332581,27888,2.092780852,60.06281044,55.07408368,2314,0.173647981,4.983697051,4.569758665,5656,0.42443949,12.18141336,11.16964348,106152,7.965894756,228.6211795,209.632248,44146,3.312819258,95.07791271,87.18088419,76562,5.745391837,164.8927457,151.1970021,932951,70.01082861,2009.310781,1842.420448,244599,11687750.29,526.7965925,483.0416593,4693.333334,0.352198728,10.1081035
RIMMA0437.1,RIMMA0437,1,0,0,mays,SAH,1,2688,2.685,1001840,918767.3333,8979,0.977287685,26.24017434,24.06433662,798,0.086855504,2.332070288,2.138694802,4217,0.458984538,12.32373484,11.3018496,82546,8.984429137,241.2319223,221.2289487,34151,3.71704552,99.8026722,91.52702527,48921.66667,5.324706799,142.9683776,131.1134263,630034,68.57383552,1841.207484,1688.534387,156900,16054638,458.5235943,420.5027749,3263.166666,0.355167902,9.536258181
RIMMA0438.1,RIMMA0438,1,0,0,mays,SAH,1,2820,2.875,918795,845166,5602,0.662828367,19.05631556,17.52920945,1530,0.181029526,5.20459886,4.787520611,3882,0.459318051,13.20539397,12.14716014,64024,7.575316565,217.7903512,200.3373984,25147,2.975391817,85.54251472,78.68743844,48482,5.736387881,164.9211516,151.7049505,596271,70.55075571,2028.334227,1865.790655,151476,22852974.83,515.2756973,473.9833151,3018.5,0.357148773,10.26802723
RIMMA0439.1,RIMMA0439,1,0,0,mays,SAH,1,2900,2.65,1504510,1361130.833,14026,1.030466701,27.30736759,24.70498701,1359,0.099843451,2.645851458,2.393702933,6402,0.470344205,12.46412144,11.27629594,176595,12.97413854,343.8146713,311.0492785,65106,4.783228651,126.7555593,114.6758081,78273.16667,5.750598308,152.3908552,137.8680711,915854,67.28625769,1783.085829,1613.158503,235994,22901661.91,459.4592119,415.6729434,4744.833334,0.348594949,9.23776615
RIMMA0441.1,RIMMA0441,1,0,0,mays,ML,1,1320,2.8,1469640,1374159.5,29434,2.14196387,59.97498835,56.07849541,4355,0.316920998,8.873787941,8.29727008,5725,0.416618304,11.66531251,10.90743311,49697,3.616537964,101.263063,94.68414033,19061,1.387102443,38.83886841,36.31556027,76419.5,5.561181217,155.7130741,145.5966087,964159,70.16354361,1964.579221,1836.943197,244075,11394916.76,497.3294585,465.018644,4983.166666,0.362633789,10.1537461
RIMMA0462.1,RIMMA0462,1,0,0,mays,SAL,1,1700,3.065,1431100,1338243,103906,7.764359687,237.9776244,222.5364335,5017,0.374894545,11.49051779,10.74495493,3114,0.232693166,7.132045525,6.66928237,114909,8.58655715,263.1779766,246.1016596,49562,3.70351274,113.5126655,106.1473901,43295,3.23521214,99.15925209,92.72529872,879706,65.735894,2014.805151,1884.074411,241216,3106708.212,552.4609806,516.6145203,4024.333333,0.300717682,9.216996962
RIMMA0464.1,RIMMA0464,1,0,0,mays,SAH,1,1800,2.735,515752,470662.5,7604,1.615595039,44.18652431,40.32352759,1268,0.269407484,7.368294691,6.724123222,2256,0.479324357,13.10952115,11.96342428,54254,11.52715587,315.2677131,287.7055057,18450,3.920006374,107.2121743,97.83917464,26639.5,5.660000531,154.8010145,141.2675714,316862,67.32255066,1841.271761,1680.299,82927,5132907.567,481.8853106,439.7565981,1591.533333,0.338147469,9.248333289
RIMMA0465.1,RIMMA0465,1,0,0,mays,SAH,1,2300,2.86,808164,742592.1667,5905,0.795187489,22.74236217,20.89711989,950,0.127930248,3.658805091,3.361941388,3054,0.411262081,11.76209552,10.80775684,62326,8.393032245,240.0407222,220.5645884,23318,3.140081602,89.8063338,82.51973609,42253.83333,5.690045658,162.7353058,149.5314854,519007,69.89125704,1998.889951,1836.706436,132631,16679211.12,510.8115558,469.3659455,2631.833333,0.354411675,10.13617389
