FullID,Population,IndID,Plant,AB10Freq,ab10round,Species,Region,Group,Altitude,X2C_GS,X1c,GS_bp,Total_Reads,Total_corr,X180knobreads,X180knob.,X180knobbp,TR1total,TR1.,TR1bp,CentCreads,CentC.,CentCbp,mtreads,mt.,mtbp,TotalTereads,TotalTe.,TotalTebp,Gsnoknob,GSno180,GSnoTR1
tx3,Tx,3,1,NA,NA,mexicana,MH,1,2253,6.47,3.235,3163830000,299223,289835,36317,0.121371018,383997266.6,449,0.001500553,4747494.912,1419,0.004742283,15003775.68,9388,0.031374594,99263880.25,191051,0.638490357,2020074945,2775085238,2779832733,3159082505
tx4,Tx,4,1,NA,NA,mexicana,MH,1,2253,6.38,3.19,3119820000,302896,295584,30622,0.101097406,315405710.3,1784,0.00588981,18375148.17,1327,0.004381042,13668061.45,7312,0.024140299,75313387.57,183888,0.607099466,1894041058,2786039141,2804414290,3101444852
tx7,Tx,7,1,NA,NA,mexicana,MH,1,2253,6.38,3.19,3119820000,286699,275670,33613,0.117241427,365772150.1,1738,0.006062107,18912682.5,1312,0.004576228,14277007.73,11029,0.038468917,120016096.3,185617,0.647428139,2019859256,2735135167,2754047850,3100907318
tx8,Tx,8,1,NA,NA,mexicana,MH,1,2253,6.38,3.19,3119820000,290006,282422,39473,0.136110977,424641748.3,1577,0.005437819,16965015,1326,0.004572319,14264812.87,7584,0.026151183,81586983.99,195866,0.675386026,2107082833,2678213237,2695178252,3102854985
tx9,Tx,9,1,NA,NA,mexicana,MH,1,2253,6.3,3.15,3080700000,299415,290531,39830,0.133026067,409813406.1,1040,0.00347344,10700626.22,1340,0.004475394,13787345.32,8884,0.029671192,91408041.68,196598,0.65660705,2022809340,2660185968,2670886594,3069999374
tz10,Tz,10,1,NA,NA,mexicana,MH,0,1665,5.54,2.77,2709060000,300994,288504,33586,0.11158362,302286720.5,1232,0.004093105,11088466.61,1245,0.004136295,11205471.54,12490,0.041495844,112414730.5,194092,0.644836774,1746901511,2395684813,2406773279,2697971533
tz12,Tz,12,1,NA,NA,mexicana,MH,0,1665,5.71,2.855,2792190000,224239,216789,30656,0.136711277,381723860,985,0.004392635,12265070.53,912,0.004067089,11356085.61,7450,0.03322348,92766269.47,146399,0.652870375,1822938132,2398201069,2410466140,2779924929
tz13,Tz,13,1,NA,NA,mexicana,MH,0,1665,5.59,2.795,2733510000,332188,321374,22307,0.067151733,183559934.6,1245,0.003747878,10244861.19,1645,0.004952015,13536382.86,10814,0.032553855,88986288.31,218353,0.657317543,1796784077,2539705204,2549950065,2723265139
tz19,Tz,19,1,NA,NA,mexicana,MH,0,1665,5.71,2.855,2792190000,318175,306796,38725,0.121709751,339836749.4,1228,0.003859511,10776488.79,1563,0.004912391,13716328.97,11379,0.035763338,99858034.13,207578,0.65240198,1821630285,2441576762,2452353251,2781413511
tz23,Tz,23,1,NA,NA,mexicana,MH,0,1665,5.54,2.77,2709060000,256271,245052,29264,0.114191617,309351943.2,934,0.003644579,9873384.191,977,0.00381237,10327940.42,11219,0.043777876,118596892.1,163951,0.639756352,1733138342,2389834673,2399708057,2699186616
tz2,Tz,2,1,NA,NA,mexicana,MH,0,1665,5.46,2.73,2669940000,315796,306018,20984,0.06644796,177412066.5,1359,0.004303411,11489849.33,1527,0.0048354,12910228.06,9778,0.030963027,82669423.68,209928,0.664758262,1774864673,2481038084,2492527933,2658450151
tz3,Tz,3,1,NA,NA,mexicana,MH,0,1665,5.33,2.665,2606370000,228504,221127,25546,0.11179673,291383643.3,905,0.003960543,10322641.4,1132,0.004953961,12911856.42,7377,0.032283899,84143785.19,148164,0.648408781,1689993193,2304663715,2314986357,2596047359
tz4,Tz,4,1,NA,NA,mexicana,MH,0,1665,5.71,2.855,2792190000,298811,289473,45723,0.153016455,427251016.1,1023,0.003423569,9559254.412,1432,0.004792327,13381087.31,9338,0.031250523,87257397.55,195057,0.652777174,1822677896,2355379729,2364938984,2782630746
tz9,Tz,9,1,NA,NA,mexicana,MH,0,1665,5.59,2.795,2733510000,220318,213726,19845,0.090074347,246219128.5,1443,0.006549624,17903461.95,936,0.004248405,11613056.4,6592,0.029920388,81787679.26,147823,0.670952895,1834056449,2469387410,2487290872,2715606538
,,,,,,,,,,,,,,,,,102962883.7,,,,,,,,,,,,1543324345,,,
