AcID,fullid,Pop,Ind,genomesize,leaf3.0,leaf3.1,leaf3.2,leaf3.3,dailyavg3,leaf4.0,leaf4.1,leaf4.2,leaf4.3,dailyavg4,dailyavgall,adjcs3,adjcs4,adjavg,m3,m4,mavg
8-15,8_15,8,15,6.09,2.1,6,11.3,16.6,4.833333333,10.1,17,24.4,29.9,6.6,5.716666667,,,,,,
8-16,8_16,8,16,6.13,5.1,10.3,16.5,23,5.966666667,14.1,20.8,29.5,38,7.966666667,6.966666667,,,,,,
A-1,a_1,a,1,5.92,2,5.9,9.9,14.7,4.233333333,7,11.5,17.5,24.1,5.7,4.966666667,,,,,,
A-2,a_2,a,2,5.71,7.5,12.9,18.5,23,5.166666667,10.6,15.3,22.2,27.4,5.6,5.383333333,,,,,,
A-3,a_3,a,3,5.96,14.1,16.2,19,20.1,2,5.5,9.8,15,19.6,4.7,3.35,,,,,,
a-4,a_4,a,4,6.09,13,18,22.6,26,4.333333333,8.2,13,17,23.2,5,4.666666667,,,,,,
a-5,a_5,a,5,5.96,5.5,9.2,14.5,19.3,4.6,8,13.2,19.5,26.6,6.2,5.4,,,,,,
a-6,a_6,a,6,5.92,5.3,7.7,12.2,16,3.566666667,8.5,13,18.3,22.4,4.633333333,4.1,,,,,,
a-7,a_7,a,7,5.80,5.4,7.2,10.5,15,3.2,6,10.5,15.5,21.3,5.1,4.15,,,,,,
a-8,a_8,a,8,6.22,4.2,8.6,14,18.9,4.9,6.8,13,18.6,24,5.733333333,5.316666667,,,,,,
a-9,a_9,a,9,6.05,8,11.4,15,18.1,3.366666667,8.3,11.7,16.8,21.6,4.433333333,3.9,,,,,,
a-10,a_10,a,10,6.01,3.5,4.8,7.2,10.5,2.333333333,5.9,9.8,14.1,19,4.366666667,3.35,,,,,,
A-12,a_12,a,12,5.84,3.2,6.5,10,13.2,3.333333333,2.6,9.2,13,16.6,4.666666667,4,,,,,,
B-1,b_1,b,1,6.01,3.3,5.5,9.5,15,3.9,11,15.5,21.6,NA,5.3,4.6,,,,,,
B-2,b_2,b,2,6.55,2,5.6,9.6,13.9,3.966666667,9,14.2,20.5,39.3,10.1,7.033333333,,,,,,
B-3,b_3,b,3,5.80,6.2,11.3,16.8,19.2,4.333333333,7.2,11.3,16.6,29.7,7.5,5.916666667,,,,,,
b-4,b_4,b,4,6.30,8.3,12.5,14,17.5,3.066666667,8.2,11,16,20.2,4,3.533333333,,,,,,
b-6,b_6,b,6,5.96,9.4,12.9,18.3,24.6,5.066666667,11.5,16.4,22.5,30.2,6.233333333,5.65,,,,,,
b-7,b_7,b,7,5.92,2.4,5.2,12,17.4,5,5.8,10.6,16,22.6,5.6,5.3,,,,,,
bulk-1,bulk_1,x,1,6.01,8.6,12.1,15.9,20.5,3.966666667,6.4,11.2,16.5,22.3,5.3,4.633333333,,,,,,
bulk-4,bulk_4,x,4,6.05,6.4,9.7,16,19,4.2,5.7,9.5,14.3,20.6,4.966666667,4.583333333,,,,,,
bulk-5,bulk_5,x,5,5.96,1.6,4.8,9.8,14.5,4.3,6.4,6.5,12.2,19,4.2,4.25,,,,,,
bulk-6,bulk_6,x,6,6.13,6,9,13.5,16.6,3.533333333,6.6,9.6,13.3,19,4.133333333,3.833333333,,,,,,
bulk-7,bulk_7,x,7,6.17,3.5,6.8,13,16.7,4.4,7,11.7,18,25,6,5.2,,,,,,
bulk-8,bulk_8,x,8,6.43,5.2,8.4,12.6,17,3.933333333,9.1,15.6,23,28.3,6.4,5.166666667,,,,,,
bulk-9,bulk_9,x,9,6.05,5.4,8.4,13.1,17.6,4.066666667,12.5,18.3,24.7,31,6.166666667,5.116666667,,,,,,
bulk-10,bulk_10,x,10,6.43,2,5.5,10.5,16,4.666666667,7.1,13,19.7,27.4,6.766666667,5.716666667,,,,,,
bulk-11,bulk_11,x,11,6.17,5.5,9.2,14.8,18.5,4.333333333,10.5,15.5,21.6,22.6,4.033333333,4.183333333,,,,,,
bulk-12,bulk_12,x,12,5.71,8.4,13.3,16.2,22.1,4.566666667,6.8,10.2,16,23,5.4,4.983333333,,,,,,
bulk-13,bulk_13,x,13,5.96,5.1,8.9,12,17,3.966666667,11.2,16.2,21,27,5.266666667,4.616666667,,,,,,
bulk-14,bulk_14,x,14,6.13,5.3,8.1,12.7,17.3,4,6.6,11.2,17,23,5.466666667,4.733333333,,,,,,
bulk-16,bulk_16,x,16,5.96,1.6,4.5,8.2,14,4.133333333,14,23.8,31.1,39.2,8.4,6.266666667,,,,,,
bulk-17,bulk_17,x,17,6.05,2.7,6.5,11.4,15.2,4.166666667,13.4,19.1,25,30.3,5.633333333,4.9,,,,,,
bulk-18,bulk_18,x,18,5.92,1.2,4.5,7.5,12.5,3.766666667,11.4,16.8,24.8,29.3,5.966666667,4.866666667,,,,,,
bulk-19,bulk_19,x,19,6.07,4,6,10,14.6,3.533333333,6.6,11.3,17.2,23.2,5.533333333,4.533333333,,,,,,
bulk-20,bulk_20,x,20,6.10,3.7,6.3,11.1,14.7,3.666666667,8.5,15.2,22.8,30.5,7.333333333,5.5,,,,,,
bulk-21,bulk_21,x,21,5.98,1.8,4.8,6.9,13.7,3.966666667,5.8,11,17,24.1,6.1,5.033333333,,,,,,
bulk-22,bulk_22,x,22,6.01,6.1,9,12.8,18.1,4,12.8,18.7,26.2,32.8,6.666666667,5.333333333,,,,,,
bulk-23,bulk_23,x,23,5.96,0.9,6,8,13.6,4.233333333,7.8,12.1,19.6,NA,5.9,5.066666667,,,,,,
bulk-24,bulk_24,x,24,5.98,3,4.4,8,13.6,3.533333333,13.2,20.3,28.4,36.6,7.8,5.666666667,,,,,,
bulk-25,bulk_25,x,25,5.88,8.6,13.9,16.6,22,4.466666667,12.8,19,26,33.7,6.966666667,5.716666667,,,,,,
bulk-26,bulk_26,x,26,5.85,3,6.9,10.9,15.1,4.033333333,5.3,14.2,18.8,NA,6.75,5.391666667,,,,,,
bulk-28,bulk_28,x,28,5.85,2,6,10.5,15.9,4.633333333,13.9,19.6,25.5,30.2,5.433333333,5.033333333,,,,,,
bulk-29,bulk_29,x,29,5.85,7.7,11.8,16.2,20.5,4.266666667,15,20.6,27,33.5,6.166666667,5.216666667,,,,,,
bulk-30,bulk_30,x,30,6.11,5.6,8.3,13,18,4.133333333,6.6,11.1,17,23.4,5.6,4.866666667,,,,,,
bulk-31,bulk_31,x,31,6.01,2.5,5.5,7.9,12,3.166666667,5,10,15,20.2,5.066666667,4.116666667,,,,,,
bulk-32,bulk_32,x,32,5.92,3.5,8.4,13.7,19.2,5.233333333,9.2,14,19,24.3,5.033333333,5.133333333,,,,,,
bulk-35,bulk_35,x,35,6.01,6,11.4,18,23.6,5.866666667,12.1,18,24.9,31.7,6.533333333,6.2,,,,,,
bulk-36,bulk_36,x,36,5.96,3.9,10.1,16.6,24.2,6.766666667,5.2,11.5,19,27.2,7.333333333,7.05,,,,,,
bulk-37,bulk_37,x,37,6.01,2.6,5.5,9.2,16.8,4.733333333,7.5,12,16,20.8,4.433333333,4.583333333,,,,,,
bulk-38,bulk_38,x,38,5.90,0.5,4.6,10,16.8,5.433333333,8.6,12.3,17.3,21.6,4.333333333,4.883333333,,,,,,
bulk-40,bulk_40,x,40,6.10,6.7,12.2,19.1,25,6.1,9.6,16.2,23.5,31.1,7.166666667,6.633333333,,,,,,
bulk-42,bulk_42,x,42,6.13,5.5,10.1,15.2,20.4,4.966666667,8.6,NA,18.4,23.6,5,4.983333333,,,,,,
C-1,c_1,c,1,5.71,6.4,8.7,14.3,20,4.533333333,7.6,12.4,18.2,25,5.8,5.166666667,,,,,,
C-2,c_2,c,2,5.59,4.4,7.3,12,17.5,4.366666667,11,17.8,26.1,35.9,8.3,6.333333333,,,,,,
c-3,c_3,c,3,5.67,5,11,17.1,24.3,6.433333333,4.5,10.5,17.4,25,6.833333333,6.633333333,,,,,,
c-4,c_4,c,4,5.63,3.5,5,9,12.8,3.1,8.5,14,20.8,28.3,6.6,4.85,,,,,,
c-5,c_5,c,5,5.71,5.5,8.8,13.5,17.6,4.033333333,9.8,15,21.3,28.5,6.233333333,5.133333333,,,,,,
c-6,c_6,c,6,5.84,5.5,10.3,16.5,22.3,5.6,8.6,13,17.3,22.8,4.733333333,5.166666667,,,,,,
c-7,c_7,c,7,5.71,NA,22.8,28.8,34.3,5.75,7.6,14,21.1,28,6.8,6.275,,,,,,
c-8,c_8,c,8,5.84,11.5,18,24.1,30.5,6.333333333,12.6,17.2,24.5,29.6,5.666666667,6,,,,,,
c-9,c_9,c,9,5.63,6,10.6,16.1,22.1,5.366666667,11.6,17.3,22.3,28.5,5.633333333,5.5,,,,,,
c-10,c_10,c,10,5.88,1.9,6.6,12,18.6,5.566666667,11.2,18.5,26.6,36.1,8.3,6.933333333,,,,,,
c-11,c_11,c,11,5.84,2.8,6.1,11.1,15.7,4.3,13.9,17.2,21.9,26.9,4.333333333,4.316666667,,,,,,
d-1,d_1,d,1,5.96,6.2,11.5,16.6,22,5.266666667,15,21.6,27.9,34.2,6.4,5.833333333,,,,,,
d-2,d_2,d,2,5.84,NA,20.5,27.8,34.5,7,8.5,14.6,20.5,26.6,6.033333333,6.516666667,,,,,,
d-3,d_3,d,3,5.88,7,12.1,18,23.5,5.5,14,21.6,30.4,39,8.333333333,6.916666667,,,,,,
d-4,d_4,d,4,5.84,1.7,5.3,12.3,14.2,4.166666667,8.8,15,20.5,28.6,6.6,5.383333333,,,,,,
d-6,d_6,d,6,5.75,3.5,9.4,13.2,19.3,5.266666667,5.3,12.1,18.5,25.3,6.666666667,5.966666667,,,,,,
d-7,d_7,d,7,5.84,9.5,15,18.2,22,4.166666667,10,16.4,21,30.3,6.766666667,5.466666667,,,,,,
d-8,d_8,d,8,5.75,3.1,6.8,10.1,14.7,3.866666667,11,15.6,21.8,28.2,5.733333333,4.8,,,,,,
d-9,d_9,d,9,6.09,7.5,10.1,14.8,18,3.5,8.5,12,17.5,20.5,4,3.75,,,,,,
d-10,d_10,d,10,6.09,1.9,6.4,11.8,18,5.366666667,3,7.9,11.4,13.5,3.5,4.433333333,,,,,,
d-12,d_12,d,12,6.05,2.1,6,11.6,17.8,5.233333333,8.8,14.4,21.7,27.6,6.266666667,5.75,,,,,,
d-13,d_13,d,13,6.13,1.6,6,11,17.4,5.266666667,15.3,20.5,28,34.4,6.366666667,5.816666667,,,,,,
d-14,d_14,d,14,6.13,3.2,7.2,13.1,20.3,5.7,7.9,14.2,20.2,27.1,6.4,6.05,,,,,,
d-15,d_15,d,15,5.84,2.6,7.8,13,25.6,7.666666667,8.8,13.7,19.3,25.4,5.533333333,6.6,,,,,,
D-16,d_16,d,16,6.01,4.6,9.8,15.6,22,5.8,5.6,11,17.2,23.9,6.1,5.95,,,,,,
d-17,d_17,d,17,5.75,2.1,6,10.5,14.6,4.166666667,9.1,15.1,23.2,29.4,6.766666667,5.466666667,,,,,,
d-18,d_18,d,18,5.84,8,13.4,19.5,26.5,6.166666667,2,14.8,22.6,29.4,9.133333333,7.65,,,,,,
d-20,d_20,d,20,6.05,3.6,9.7,16.6,24,6.8,6.8,11.4,17.6,24.3,5.833333333,6.316666667,,,,,,
E-1,e_1,e,1,5.84,1.7,2,8.5,13.4,3.9,13,19.2,25.7,33.8,6.933333333,5.416666667,,,,,,
E-3,e_3,e,3,5.96,5,11.9,12.2,15.6,3.533333333,7.6,12.5,18.2,24.2,5.533333333,4.533333333,,,,,,
e-4,e_4,e,4,5.92,1.5,4.3,8.8,14.7,4.4,10.5,15.5,22.2,37.7,9.066666667,6.733333333,,,,,,
E-6,e_6,e,6,6.05,3.3,6.4,11.5,14.1,3.6,10.6,16.5,23.7,31.5,6.966666667,5.283333333,,,,,,
E-8,e_8,e,8,6.01,4.5,8,13.2,21.2,5.566666667,7.2,12.3,17,22,4.933333333,5.25,,,,,,
e-9,e_9,e,9,5.92,2.5,6,13.8,21.5,6.333333333,7.1,10.4,14.6,19.3,4.066666667,5.2,,,,,,
e-10,e_10,e,10,6.26,3.5,7.8,13.1,19,5.166666667,8.4,12.4,18.1,24.5,5.366666667,5.266666667,,,,,,
e-11,e_11,e,11,5.88,3.5,8.6,15.5,22.3,6.266666667,12,20,27.3,35.1,7.7,6.983333333,,,,,,
e-12,e_12,e,12,5.92,4.3,9.5,16.6,24.1,6.6,12.2,18.5,26.2,34.2,7.333333333,6.966666667,,,,,,
E-13,e_13,e,13,5.63,5,10.5,18,25,6.666666667,10.8,16,23.5,30.7,6.633333333,6.65,,,,,,
e-14,e_14,e,14,5.96,2.7,7.3,13.5,19.9,5.733333333,12,19.1,26.5,34.5,7.5,6.616666667,,,,,,
e-15,e_15,e,15,5.80,2.3,7,11.6,17.2,4.966666667,13.2,19.7,27.3,35.1,7.3,6.133333333,,,,,,
e-16,e_16,e,16,6.30,5.6,10,15.8,21.6,5.333333333,11.1,17.1,24,30.3,6.4,5.866666667,,,,,,
e-17,e_17,e,17,6.01,9.1,14.3,19.2,23.5,4.8,7.3,12.5,NA,25,5.9,5.35,,,,,,
e-18,e_18,e,18,5.84,1.5,4.5,8.4,12.5,3.666666667,6.8,10.6,16.2,22.3,5.166666667,4.416666667,,,,,,
e-19,e_19,e,19,5.92,5.4,9.5,14.5,18.6,4.4,6.8,11.5,NA,24.5,5.9,5.15,,,,,,
F-1,f_1,f,1,5.88,7.5,11,16.2,22.2,4.9,6.9,12.3,18.8,26.1,6.4,5.65,,,,,,
F-2,f_2,f,2,5.42,6.2,8.3,12.2,16.5,3.433333333,11.5,16.5,23.2,29,5.833333333,4.633333333,,,,,,
F-3,f_3,f,3,5.80,3.3,6.8,11.2,16.2,4.3,12.3,18,24,29.5,5.733333333,5.016666667,,,,,,
f-4,f_4,f,4,5.59,1.1,4,8.2,12.8,3.9,3,7.5,15,18.7,5.233333333,4.566666667,,,,,,
f-6,f_6,f,6,5.88,2.6,4.1,9.1,11.5,2.966666667,10.5,16,25.5,NA,7.5,5.233333333,,,,,,
f-7,f_7,f,7,5.63,1.2,5.1,10,16,4.933333333,9.3,15.5,23,30.9,7.2,6.066666667,,,,,,
f-8,f_8,f,8,5.84,0.3,2.6,6.8,12.2,3.966666667,8.4,13.2,18.6,25,5.533333333,4.75,,,,,,
G-1,g_1,g,1,5.54,8.5,13.5,19.6,25.2,5.566666667,8.5,13,18.2,22.5,4.666666667,5.116666667,,,,,,
G-2,g_2,g,2,5.71,8.5,13.4,18.5,22.6,4.7,7.2,12.1,17.6,23.2,5.333333333,5.016666667,,,,,,
G-3,g_3,g,3,5.75,5.3,8.8,13.4,17.4,4.033333333,14.6,20.5,26.5,30,5.133333333,4.583333333,,,,,,
g-4,g_4,g,4,5.84,8,11.6,15.2,21,4.333333333,8.6,13.1,18.2,23.4,4.933333333,4.633333333,,,,,,
g-5,g_5,g,5,5.67,3.2,6.2,9.6,15.5,4.1,8.6,12.8,17.6,24.9,5.433333333,4.766666667,,,,,,
g-6,g_6,g,6,5.71,3.5,7.3,12.7,18.6,5.033333333,9.5,14.5,19.3,29.9,6.8,5.916666667,,,,,,
g-7,g_7,g,7,6.01,4.6,8,11.4,16,3.8,20.5,26,31.6,37.2,5.566666667,4.683333333,,,,,,
g-8,g_8,g,8,6.05,3.5,6.9,11.5,17,4.5,12,17.4,23.6,29,5.666666667,5.083333333,,,,,,
g-9,g_9,g,9,5.84,10.1,15.3,21.3,30.5,6.8,11.4,16.8,23,29.6,6.066666667,6.433333333,,,,,,
g-10,g_10,g,10,5.75,3.6,7.3,12.6,18.6,5,12.1,18.2,24,30.2,6.033333333,5.516666667,,,,,,
h-2,h_2,h,2,5.96,4,8,12.3,16,4,6.3,11.1,16.8,22.6,5.433333333,4.716666667,,,,,,
h-4,h_4,h,4,6.01,3,5.6,8.6,12.5,3.166666667,6,10,15.3,20.8,4.933333333,4.05,,,,,,
h-5,h_5,h,5,5.84,2.4,5.3,10,15.5,4.366666667,10.8,17,24.1,30.6,6.6,5.483333333,,,,,,
h-6,h_6,h,6,6.13,3,7,11.5,16.2,4.4,10,15.4,21.4,27,5.666666667,5.033333333,,,,,,
h-7,h_7,h,7,6.09,7,11.5,16,20.3,4.433333333,7.4,11.5,17,23.5,5.366666667,4.9,,,,,,
h-8,h_8,h,8,6.43,8.4,13.5,21,27.1,6.233333333,9,15.7,22.5,30.6,7.2,6.716666667,,,,,,
h-9,h_9,h,9,5.92,1.8,5.3,10.8,17.1,5.1,7,11.4,17.5,23.6,5.533333333,5.316666667,,,,,,
h-10,h_10,h,10,5.96,4.6,8,13.1,17,4.133333333,1.9,7,9.9,15.4,4.5,4.316666667,,,,,,
h-13,h_13,h,13,6.09,3.5,8.5,13.4,18.3,4.933333333,8.6,14.2,20.5,26.6,6,5.466666667,,,,,,
I-1,i_1,i,1,5.88,4.5,7.2,12.2,17,4.166666667,7.6,13,19.2,27,6.466666667,5.316666667,,,,,,
I-2,i_2,i,2,6.01,6,10.5,15.5,20.6,4.866666667,13,19.6,26.1,34.2,7.066666667,5.966666667,,,,,,
I-3,i_3,i,3,5.84,7.5,10.1,14.5,19.5,4,4.5,8.8,13.7,19.5,5,4.5,,,,,,
I-4,i_4,i,4,5.88,5.2,14.5,20.3,26,6.933333333,9,13.5,19,25.5,5.5,6.216666667,,,,,,
I-7,i_7,i,7,5.80,3.5,6.9,12.1,14.5,3.666666667,9.4,15.6,23.1,31.2,7.266666667,5.466666667,,,,,,
I-9,i_9,i,9,5.71,4.3,8.9,13.1,17.6,4.433333333,6.5,11,16.8,22.6,5.366666667,4.9,,,,,,
I-10,i_10,i,10,5.96,5,8.4,12.6,18.3,4.433333333,6.7,12,18.1,25.6,6.3,5.366666667,,,,,,
I-12,i_12,i,12,5.75,3.1,6.4,9.6,12.2,3.033333333,8.5,NA,16.9,18.3,3.266666667,3.15,,,,,,
I-13,i_13,i,13,5.88,3.6,7.3,11.6,16.6,4.333333333,7,12,18.1,25.5,6.166666667,5.25,,,,,,
j-1,j_1,j,1,6.09,2.1,3.8,9.4,12,3.3,11,17.6,23.2,29.4,6.133333333,4.716666667,,,,,,
j-2,j_2,j,2,6.38,7.4,10.5,14.8,18.3,3.633333333,7.2,11.1,15.2,NA,4,3.816666667,,,,,,
j-3,j_3,j,3,6.30,2,6,10.5,14.6,4.2,10,14.1,20.2,25.2,5.066666667,4.633333333,,,,,,
j-4,j_4,j,4,5.88,3.5,8.2,11.7,16.7,4.4,4.1,9.7,14.2,20,5.3,4.85,,,,,,
j-5,j_5,j,5,5.96,4.7,8.4,12.6,17.3,4.2,8.1,12,18,22.4,4.766666667,4.483333333,,,,,,
j-7,j_7,j,7,5.92,1.5,5.5,9,11.7,3.4,8.7,14.3,20,26.3,5.866666667,4.633333333,,,,,,
j-8,j_8,j,8,6.34,2.4,5.6,10.5,15.6,4.4,5.9,10.9,16,18.1,4.066666667,4.233333333,,,,,,
j-9,j_9,j,9,6.09,3.5,7.8,13,18.5,5,8.9,12.5,17.8,24.8,5.3,5.15,,,,,,
j-10,j_10,j,10,6.13,3.5,8.5,13.5,19.4,5.3,7,16.4,17.2,23,5.333333333,5.316666667,,,,,,
j-11,j_11,j,11,5.88,0.9,5,11,NA,5.05,4,10,15.4,21.5,5.833333333,5.441666667,,,,,,
K-3,k_3,k,3,5.88,1.4,3,8.7,13.5,4.033333333,9,13.8,19.6,24.5,5.166666667,4.6,,,,,,
k-5,k_5,k,5,5.74,4.8,10.5,18,30.1,8.433333333,10.5,16.5,22.6,30.3,6.6,7.516666667,,,,,,
k-6,k_6,k,6,5.90,2.1,6.1,11.6,18.1,5.333333333,15.7,21.4,25.2,26.3,3.533333333,4.433333333,,,,,,
k-7,k_7,k,7,5.66,7.7,13.3,19.5,25.1,5.8,13,19.5,25,31.8,6.266666667,6.033333333,,,,,,
k-8,k_8,k,8,6.01,4.2,9.6,16.6,23.6,6.466666667,14,21.7,29,37.2,7.733333333,7.1,,,,,,
k-9,k_9,k,9,5.77,3.4,6,9.8,11.5,2.7,5.6,8.3,11.2,12.9,2.433333333,2.566666667,,,,,,
k-10,k_10,k,10,5.74,1.5,6,11.5,18.2,5.566666667,8.6,15.1,21.4,28.5,6.633333333,6.1,,,,,,
k-11,k_11,k,11,5.50,2.5,6.5,11.8,17.9,5.133333333,5,9.9,15.3,21.5,5.5,5.316666667,,,,,,
k-14,k_14,k,14,5.94,2.1,5.6,9.8,14.1,4,10.9,15.1,20.4,26.9,5.333333333,4.666666667,,,,,,
k-15,k_15,k,15,5.77,1,4.5,9,13.6,4.2,4.3,7.3,12,16.1,3.933333333,4.066666667,,,,,,
k-16,k_16,k,16,5.82,1.1,4,8.1,12.5,3.8,5.6,9.2,13,18.2,4.2,4,,,,,,
k-17,k_17,k,17,5.93,5.6,10.4,15.9,21.5,5.3,6.3,9.9,14.6,20.7,4.8,5.05,,,,,,
L-3,l_3,l,4,5.88,4.5,8.9,14.1,18.6,4.7,9.5,14.4,22.3,28.1,6.2,5.45,,,,,,
L-6,l_6,l,7,5.96,6.9,11.5,16.5,21.1,4.733333333,7,11.5,17.5,23,5.333333333,5.033333333,,,,,,
L-7,l_7,l,8,6.01,8,14.3,22.9,29,7,5.7,13,19.4,27.5,7.266666667,7.133333333,,,,,,
L-8,l_8,l,9,6.17,3.4,6.7,11.6,14.5,3.7,5.6,8,15.6,22.2,5.533333333,4.616666667,,,,,,
L-9,l_9,l,10,5.96,4.2,8.9,15,21,5.6,9.1,14.5,22,28.6,6.5,6.05,,,,,,
L-10,l_10,l,11,5.75,7.4,11,16,21.5,4.7,16.1,22,29,33.1,5.666666667,5.183333333,,,,,,
L-11,l_11,l,12,5.80,10.6,15.7,21.2,25.5,4.966666667,15.5,22,28.5,34.5,6.333333333,5.65,,,,,,
L-12,l_12,l,13,5.71,4.6,9,14,19.5,4.966666667,5.1,9.6,15.2,21.5,5.466666667,5.216666667,,,,,,
L-13,l_13,l,14,6.05,7.4,7.9,16.9,22.4,5,10.6,16.5,23.7,29.6,6.333333333,5.666666667,,,,,,
L-15,l_15,l,16,6.22,0.3,4.5,9.9,15.5,5.066666667,9.4,13.2,16.3,21.1,3.9,4.483333333,,,,,,
L-16,l_16,l,17,5.92,13.2,18.5,23.6,27.2,4.666666667,14.5,19.6,26.5,33.5,6.333333333,5.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
