FullID,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIMMA0421.1,RIMMA0421,1,NA,0,0,mays,MH,1,2250,2.715,2655270000,1627352,1503719.167,48636,3.234380533,85881535.98,2111,0.140385256,3727607.584,6289,0.418229689,11105127.47,87643,5.828415434,154760166.5,37407,2.487632055,66053347.65,86225.83333,5.73417133,152257731.1,1047852,69.68402234,1850298940,269075,8319212.821,475133117.3,2565660856,2569388464,2651542392
RIMMA0422.1,RIMMA0422,1,NA,0,0,mays,MH,1,2200,3.01,2943780000,1082289,995902.5,89993,9.036326347,266009567.7,4915,0.493522207,14528208.03,3091,0.310371748,9136661.45,111169,11.16263891,328603531.8,38324,3.848167868,113281596.1,48062.5,4.826024636,142067548,641935,64.45761508,1897490381,180198,1994151.086,532645784.5,2663242224,2677770432,2929251792
RIMMA0423.1,RIMMA0423,1,NA,0,0,mays,MH,1,2095,3.32,3246960000,1098715,1004079.5,49864,4.966140629,161248599.8,6182,0.6156883,19991152.81,6069,0.604434211,19625737.05,108166,10.77265296,349783732.6,42937,4.276255018,138848289.9,51698.5,5.148845286,167180946.9,659595,65.69151148,2132977101,173989,3503505.297,562640033.4,3065720247,3085711400,3226968847
RIMMA0424.1,RIMMA0424,1,NA,0,0,mays,MH,1,2400,2.695,2635710000,1425292,1302457.5,46156,3.543762464,93403301.65,5937,0.455830613,12014373.04,5570,0.42765311,11271695.78,142888,10.97064588,289154410.4,54460,4.181326454,110207639.5,68374.5,5.24965306,138365630.7,871179,66.88732646,1762955952,232506,6560992.796,470509317.4,2530292325,2542306698,2623695627
RIMMA0425.1,RIMMA0425,1,NA,0,0,mays,MH,1,2130,2.98,2914440000,1910013,1757566.833,62415,3.551216307,103498068.6,6870,0.390881295,11392000.82,6758,0.384508849,11206279.7,131506,7.482275923,218066442.4,56115,3.192766212,93051255.58,96331.16667,5.480939037,159738679.7,1211736,68.94395007,2009330058,316424,8910299.25,524701960.2,2799549931,2810941931,2903047999
RIMMA0426.1,RIMMA0426,1,NA,0,0,mays,SAH,1,2500,2.775,2713950000,1108325,1012439,6882,0.679744656,18447930.1,1457,0.143909905,3905642.858,5209,0.514500133,13963276.36,108366,10.70345967,290486543.6,41365,4.085678248,110883264.8,54521,5.38511456,146149316.6,684303,67.58955354,1834346688,165600,24362089.28,443908344.1,2691596427,2695502070,2710044357
RIMMA0428.1,RIMMA0428,1,NA,0,0,mays,SAL,1,700,2.99,2924220000,1114646,1015298.5,60649,5.973514193,174678696.7,6171,0.607801548,17773454.43,2708,0.26671959,7799467.605,119384,11.7585124,343844771.2,46229,4.553242224,133146819.8,53118.5,5.231811137,152989667.6,669431,65.93440254,1928066986,183545,3072646.922,528638582.5,2731767849,2749541303,2906446546
RIMMA0430.1,RIMMA0430,1,NA,0,0,mays,SAH,1,2585,2.65,2591700000,729392,663056.8333,4984,0.751670106,19481034.13,884,0.133321905,3455303.806,2882,0.43465354,11264915.8,75841,11.43808437,296440832.5,28727,4.332509456,112285647.6,37608.16667,5.671937122,146999594.4,456249,68.80993862,1783347179,114540,15238067.75,447704183.2,2568763662,2572218966,2588244696
RIMMA0431.1,RIMMA0431,1,NA,0,0,mays,SAH,1,2900,2.455,2400990000,1228840,1123794,16659,1.482389121,35592014.56,2188,0.194697605,4674670.02,4771,0.424544,10193258.99,92086,8.194206411,196742076.5,41206,3.666686243,88036770.03,63840,5.680756438,136394394,771864,68.68376233,1649090265,189271,12767970.12,404378185.2,2360723315,2365397985,2396315330
RIMMA0433.1,RIMMA0433,1,NA,0.4375,0,mays,ML,1,457,3.15,3080700000,1831068,1692784,160750,9.49619089,292549152.8,27827,1.643860055,50642396.73,4423,0.261285551,8049423.967,128041,7.563930188,233021997.3,53569,3.164550232,97490299,84715,5.004477831,154172948.5,1143944,67.57767087,2081865306,339558,3575728.457,617962085.3,2737508451,2788150847,3030057603
RIMMA0436.1,RIMMA0436,1,NA,1,1,mays,SAH,1,2200,2.87,2806860000,1453289,1332581,27888,2.092780852,58741428.61,2314,0.173647981,4874055.716,5656,0.42443949,11913422.27,106152,7.965894756,223591513.6,44146,3.312819258,92986198.63,76562,5.745391837,161265105.3,932951,70.01082861,1965105944,244599,11687750.29,515207067.4,2743244516,2748118571,2801985944
RIMMA0437.1,RIMMA0437,1,NA,0,0,mays,SAH,1,2688,2.685,2625930000,1001840,918767.3333,8979,0.977287685,25662890.5,798,0.086855504,2280764.742,4217,0.458984538,12052612.68,82546,8.984429137,235924820,34151,3.71704552,97607013.42,48921.66667,5.324706799,139823073.3,630034,68.57383552,1800700919,156900,16054638,448436075.2,2597986345,2600267110,2623649235
RIMMA0438.1,RIMMA0438,1,NA,0,0,mays,SAH,1,2820,2.875,2811750000,918795,845166,5602,0.662828367,18637076.62,1530,0.181029526,5090097.685,3882,0.459318051,12914875.3,64024,7.575316565,212998963.5,25147,2.975391817,83660579.4,48482,5.736387881,161292886.2,596271,70.55075571,1983710874,151476,22852974.83,503939632,2788022826,2793112923,2806659902
