FullID,uniqid,Population,IndID,PopName,AB10Freq,ab10round,Species,Region,Group,Altitude,1C_GS,GS_bp,Total_Reads,Total_corr,180knobreads,180knob%,180knobbp,TR1total,TR1%,TR1bp,CentCreads,CentC%,CentCbp,Cpreads,CP%,CPbp,mtreads,mt%,mtbp,cDNAreads,cDNA%,cDNAbp,TotallTereads,TotallTe%,TotallTebp,TotFTereads,TotFTe%,TotFTebp,Gsnoknob,GSno180,GSnoTR1
RIMMA0431.1,RIMMA0431_1,RIMMA0431,1,NA,0,0,mays,SAH,1,2900,2.455,2400990000,1228840,1123794,16659,1.482389121,35592014.56,2188,0.194697605,4674670.02,4771,0.424544,10193258.99,92086,8.194206411,196742076.5,41206,3.666686243,88036770.03,63840,5.680756438,136394394,771864,68.68376233,1649090265,189271,12767970.12,404378185.2,2360723315,2365397985,2396315330
RIMMA0433.1,RIMMA0433_1,RIMMA0433,1,NA,0.4375,0,mays,ML,1,457,3.15,3080700000,1831068,1692784,160750,9.49619089,292549152.8,27827,1.643860055,50642396.73,4423,0.261285551,8049423.967,128041,7.563930188,233021997.3,53569,3.164550232,97490299,84715,5.004477831,154172948.5,1143944,67.57767087,2081865306,339558,3575728.457,617962085.3,2737508451,2788150847,3030057603
RIMMA0436.1,RIMMA0436_1,RIMMA0436,1,NA,1,1,mays,SAH,1,2200,2.87,2806860000,1453289,1332581,27888,2.092780852,58741428.61,2314,0.173647981,4874055.716,5656,0.42443949,11913422.27,106152,7.965894756,223591513.6,44146,3.312819258,92986198.63,76562,5.745391837,161265105.3,932951,70.01082861,1965105944,244599,11687750.29,515207067.4,2743244516,2748118571,2801985944
RIMMA0437.1,RIMMA0437_1,RIMMA0437,1,NA,0,0,mays,SAH,1,2688,2.685,2625930000,1001840,918767.3333,8979,0.977287685,25662890.5,798,0.086855504,2280764.742,4217,0.458984538,12052612.68,82546,8.984429137,235924820,34151,3.71704552,97607013.42,48921.66667,5.324706799,139823073.3,630034,68.57383552,1800700919,156900,16054638,448436075.2,2597986345,2600267110,2623649235
RIMMA0438.1,RIMMA0438_1,RIMMA0438,1,NA,0,0,mays,SAH,1,2820,2.875,2811750000,918795,845166,5602,0.662828367,18637076.62,1530,0.181029526,5090097.685,3882,0.459318051,12914875.3,64024,7.575316565,212998963.5,25147,2.975391817,83660579.4,48482,5.736387881,161292886.2,596271,70.55075571,1983710874,151476,22852974.83,503939632,2788022826,2793112923,2806659902
RIMMA0439.1,RIMMA0439_1,RIMMA0439,1,NA,0,0,mays,SAH,1,2900,2.65,2591700000,1504510,1361130.833,14026,1.030466701,26706605.5,1359,0.099843451,2587642.726,6402,0.470344205,12189910.77,176595,12.97413854,336250748.5,65106,4.783228651,123966937,78273.16667,5.750598308,149038256.3,915854,67.28625769,1743857941,235994,22901661.91,449351109.3,2562405752,2564993394,2589112357
RIMMA0441.1,RIMMA0441_1,RIMMA0441,1,NA,0,0,mays,ML,1,1320,2.8,2738400000,1469640,1374159.5,29434,2.14196387,58655538.6,4355,0.316920998,8678564.606,5725,0.416618304,11408675.63,49697,3.616537964,99035275.6,19061,1.387102443,37984413.31,76419.5,5.561181217,152287386.4,964159,70.16354361,1921358478,244075,11394916.76,486388210.4,2671065897,2679744461,2729721435
RIMMA0462.1,RIMMA0462_1,RIMMA0462,1,NA,0,0,mays,SAL,1,1700,3.065,2997570000,1431100,1338243,103906,7.764359687,232742116.7,5017,0.374894545,11237726.4,3114,0.232693166,6975140.524,114909,8.58655715,257388061.2,49562,3.70351274,111015386.8,43295,3.23521214,96977748.55,879706,65.735894,1970479438,241216,3106708.212,540306839,2753590157,2764827883,2986332274
RIMMA0464.1,RIMMA0464_1,RIMMA0464,1,NA,0,0,mays,SAH,1,1800,2.735,2674830000,515752,470662.5,7604,1.615595039,43214420.78,1268,0.269407484,7206192.208,2256,0.479324357,12821111.69,54254,11.52715587,308331823.4,18450,3.920006374,104853506.5,26639.5,5.660000531,151395392.2,316862,67.32255066,1800763782,82927,5132907.567,471283833.8,2624409387,2631615579,2667623808
RIMMA0465.1,RIMMA0465_1,RIMMA0465,1,NA,0,0,mays,SAH,1,2300,2.86,2797080000,808164,742592.1667,5905,0.795187489,22242030.2,950,0.127930248,3578311.379,3054,0.411262081,11503329.42,62326,8.393032245,234759826.3,23318,3.140081602,87830594.46,42253.83333,5.690045658,159155129.1,519007,69.89125704,1954914373,132631,16679211.12,499573701.6,2771259658,2774837970,2793501689
RIMMA0466.1,RIMMA0466_1,RIMMA0466,1,NA,0,0,mays,SAH,1,3600,2.875,2811750000,1035623,947846.6667,10091,1.064623673,29934556.13,1767,0.186422558,5241736.269,4599,0.485205061,13642753.31,94390,9.95836176,280004236.8,34979,3.690364827,103763833,52797.33333,5.570239912,156621220.7,655773,69.18555744,1945324911,170243,15990908.74,505019189.4,2776573708,2781815444,2806508264
