,fullid,AcID,Pop,momindex,Ind,genomesize,leaf3.0,leaf3.1,leaf3.2,leaf3.3,dailyavg3,,,,leaf4.0,leaf4.1,leaf4.2,leaf4.3,dailyavg4,dailyavgall,stom_cell1,stom_cell2,stom_cell3,stom_cell4,stom_cell5,stom_cell6,stom_cell7,stom_cell8,stom_cell9,stom_cell10,stom_cell11,stom_cell12,stom_cell13,stom_cell14,stom_cell15,stom_cell16,stom_cell17,stom_cell18,stom_cell19,stom_cell20,stom_cell21,stom_cell22,stom_cell23,stom_cell24,stom_cell25,stom_cell26,stom_cell27,stom_cell28,stom_cell29,stom_cell30,stom_cell31,stom_cell32,stom_cell33,stom_cell34,stom_cell35,stom_cell36,stom_cell37,stom_cell38,stom_cell39,stom_cell40,stom_cell41,stom_cell42,stom_cell43,stom_cell44,stom_cell45,stom_cell46,stom_cell47,stom_cell48,stom_cell49,stom_cell50,stom_cell51,stom_cell52,stom_cell53,stom_cell54,stom_cell55,stom_cell56,stom_cell57,stom_cell58,stom_cell59,stom_cell60,stom_cell61,mid_cell1,mid_cell2,mid_cell3,mid_cell4,mid_cell5,mid_cell6,mid_cell7,mid_cell8,mid_cell9,mid_cell10,mid_cell11,mid_cell12,mid_cell13,mid_cell14,mid_cell15,mid_cell16,mid_cell17,mid_cell18,mid_cell19,mid_cell20,mid_cell21,mid_cell22,mid_cell23,mid_cell24,mid_cell25,mid_cell26,mid_cell27,mid_cell28,mid_cell29,mid_cell30,mid_cell31,mid_cell32,mid_cell33,mid_cell34,mid_cell35,mid_cell36,mid_cell37,mid_cell38,mid_cell39,mid_cell40,mid_cell41,mid_cell42,mid_cell43,mid_cell44,mid_cell45,mid_cell46,mid_cell47,mid_cell48,mid_cell49,mid_cell50,mid_cell51,mid_cell52,mid_cell53,mid_cell54,mid_cell55,adj_cell1,adj_cell2,adj_cell3,adj_cell4,adj_cell5,adj_cell6,adj_cell7,adj_cell8,adj_cell9,adj_cell10,adj_cell11,adj_cell12,adj_cell13,adj_cell14,adj_cell15,adj_cell16,adj_cell17,adj_cell18,adj_cell19,adj_cell20,adj_cell21,adj_cell22,adj_cell23,adj_cell24,adj_cell25,adj_cell26,adj_cell27,adj_cell28,adj_cell29,adj_cell30,adj_cell31,adj_cell32,adj_cell33,adj_cell34,adj_cell35,adj_cell36,adj_cell37,adj_cell38,adj_cell39,adj_cell40,adj_cell41,adj_cell42,adj_cell43,adj_cell44,adj_cell45,adj_cell46,adj_cell47,adj_cell48,adj_cell49,adj_cell50,adj_cell51,adj_cell52,adj_cell53,adj_cell54,adj_cell55,adj_cell56,adj_cell57,adj_cell58,adj_cell59,adj_cell60,adj_cell61,adj_cell62,adj_cell63,adj_cell64,adj_cell65,adj_cell66,adj_cell67,adj_cell68,adj_cell69,adj_cell70,adj_cell71,adj_cell72,adj_cell73,adj_cell74,adj_cell75,adj_cell76,adj_cell77,adj_cell78,adj_cell79,adj_cell80,adj_cell81,adj_cell82,adj_cell83,adj_cell84,adj_cell85,adj_cell86,adj_cell87,adj_cell88,adj_cell89,adj_cell90,adj_cell91,adj_cell92,adj_cell93,adj_cell94,adj_cell95,adj_cell96,adj_cell97,adj_cell98,adj_cell99,adj_cell100,adj_cell101,adj_cell102,adj_cell103,adj_cell104,adj_cell105,adj_cell106,adj_cell107,adj_cell108,adj_cell109,adj_cell110,adj_cell111,adj_cell112,adj_cell113,adj_cell114,adj_cell115,adj_cell116,adj_cell117,adj_cell118,adj_cell119,adj_cell120,adj_cell121,adj_cell122,adj_cell123,adj_cell124,adj_cell125,adj_cell126,adj_cell127,adj_cell128,adj_cell129,adj_cell130,adj_cell131,adj_cell132,adj_cell133,adj_cell134,adj_cell135,adj_cell136,adj_cell137,adj_cell138,adj_cell139,adj_cell140,adj_cell141,adj_cell142,adj_cell143,adj_cell144,adj_cell145,adj_cell146,adj_cell147,adj_cell148,adj_cell149,adj_cell150,adj_cell151,adj_cell152,adj_cell153,adj_cell154,adj_cell155,adj_cell156,adj_cell157,adj_cell158,adj_cell159,adj_cell160,adj_cell161,adj_cell162,adj_cell163,adj_cell164,adj_cell165,adj_cell166,adj_cell167,adj_cell168,adj_cell169,adj_cell170,adj_cell171,adj_cell172,adj_cell173,adj_cell174,adj_cell175,adj_cell176,adj_cell177,adj_cell178,adj_cell179,adj_cell180
46,a_6,a-6,a,6,6,5.92,5.3,7.7,12.2,16,3.566666667,,,,8.5,13,18.3,22.4,4.633333333,4.1,27.931,33.753,39.905,32.296,40.145,37.588,31.93,34.13,34.411,35.118,33.753,30.737,26.356,32.296,30.737,29.276,29.567,31.013,26.958,31.013,26.478,29.276,45.533,33.753,32.197,32.461,34.13,33.911,39.365,30.527,33.657,35.572,27.931,26.958,31.254,29.386,39.501,31.013,29.386,35.118,36.666,26.478,41.609,36.812,28.122,32.461,25.025,23.574,29.567,27.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.305,240.904,273.497,271.477,246.348,203.474,142.422,221.244,144.345,198.147,143.081,123.51,266.074,209.391,151.603,125.867,164.531,199.881,153.056,156.869,153.537,268.027,284.262,191.972,206.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.265,162.938,165.986,180.986,222.501,176.465,111.457,118.565,171.95,166.294,123.674,97.197,199.603,229.122,138.365,207.633,223.608,180.293,142.422,153.056,175.353,157.583,136.161,114.269,118.862,223.302,227.404,138.735,208.342,174.59,200.825,189.552,127.604,132.098,151.293,204.245,101.5,145.796,205.309,128.605,246.24,151.293,155.528,202.283,175.931,279.886,221.051,217.483,215.885,222.611,175.012,160.026,83.385,140.966,147.921,133.554,170.496,214.429,211.519,126.274,207.304,197.634,207.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,a_7,a-7,a,6,7,5.8,5.4,7.2,10.5,15,3.2,,,,6,10.5,15.5,21.3,5.1,4.15,38.124,45.345,39.501,36.55,45.345,36.666,35.118,33.657,30.702,29.276,40.936,35.118,26.316,43.86,29.386,34.13,36.666,23.437,39.474,24.897,32.164,32.296,33.753,33.657,27.816,33.753,26.316,30.737,33.753,35.118,32.164,27.778,36.55,23.392,30.702,29.386,29.24,32.164,27.931,35.088,26.356,30.737,39.474,38.04,39.582,27.816,35.209,33.657,32.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.281,147.777,185.816,258.875,308.649,260.3,134.503,212.396,158.003,215.23,254.491,198.879,226.839,316.063,270.503,246.14,177.389,194.889,267.644,235.494,175.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.847,203.301,156.44,203.216,223.918,200.378,203.216,276.412,147.668,158.003,179.973,185.724,135.973,188.738,154,190.064,168.23,125.867,125.807,198.916,236.914,238.322,181.34,127.193,144.855,111.198,137.458,185.724,144.803,201.887,193.121,99.512,156.603,194.532,122.842,153.516,130.936,131.611,134.574,247.698,143.342,201.839,184.303,212.17,199.024,232.681,247.353,184.495,188.687,174.369,155.219,171.359,200.825,146.206,233.781,119.15,102.714,127.193,221.244,162.813,117.041,147.842,165.211,194.466,169.748,187.135,133.33,217.959,222.266,190.261,159.417,158.226,154.978,267.56,157.956,238.591,160.845,131.652,200.426,185.954,139.166,117.041,176.907,234.21,220.765,124.484,158.064,206.187,217.959,146.265,182.754,168.154,210.608,248.645,166.673,157.922,112.583,226.684,185.88,169.616,179.878,209.11,242.73,188.596,258.809,193.032,184.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,a_8,a-8,a,6,8,6.22,4.2,8.6,14,18.9,4.9,,,,6.8,13,18.6,24,5.733333333,5.316666667,42.799,33.911,32.197,36.55,41.04,46.989,39.582,40.437,39.905,44.248,38.264,30.737,35.209,38.012,31.013,30.737,33.626,36.579,42.423,33.911,35.088,33.657,46.806,45.416,42.398,26.356,38.012,36.55,33.657,32.461,33.657,51.17,38.264,33.626,32.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.426,213.695,250.96,135.461,161.058,147.842,256.553,254.99,226.212,207.463,158.003,230.577,141.11,220.251,147.834,221.847,176.174,245.892,272.323,149.738,257.812,286.438,278.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.364,192.194,252.548,263.843,201.059,166.692,231.369,175.463,127.604,293.113,77.829,133.169,170.351,158.226,208.634,262.283,127.604,100.951,154.203,184.79,127.201,251.887,147.777,147.921,172.539,231.29,196.565,272.813,143.64,189.162,208.471,247.806,150.932,177.63,123.363,216.971,256.353,190.261,212.974,142.054,166.294,207.015,229.122,151.779,279.022,151.779,159.216,186.138,137.621,238.846,200.634,178.961,154.349,173.725,189.704,245.414,164.394,149.381,157.413,190.148,302.317,209.799,176.997,178.961,250.611,263.564,229.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,a_9,a-9,a,6,9,6.05,8,11.4,15,18.1,3.366666667,,,,8.3,11.7,16.8,21.6,4.433333333,3.9,29.24,32.197,34.13,33.657,32.296,29.819,38.04,33.911,36.579,35.572,32.197,32.296,36.812,23.392,27.931,36.579,29.567,30.737,33.753,29.276,28.387,33.626,34.13,32.197,27.778,30.737,26.316,29.386,24.854,30.737,23.392,25.025,35.118,29.24,33.657,29.276,23.437,31.013,32.296,33.753,27.778,26.316,28.387,26.356,27.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.024,195.371,155.219,145.209,297.392,285.93,139.993,239.984,168.287,150.932,199.024,194.796,185.765,196.826,162.813,137.807,184.303,189.704,168.535,187.955,205.429,221.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.431,256.449,210.937,211.14,188.8,208.916,125.501,136.467,187.226,188.647,140.837,219.785,171.153,129.656,171.676,237.725,149.838,172.737,188.738,90.832,96.889,216.453,167.077,281.344,50.05,193.535,171.003,215.315,212.396,146.557,152.391,185.816,116.088,162.603,143.543,112.583,105.304,181.34,147.842,174.59,194.582,209.391,154.203,135.996,136.161,161.356,140.541,199.094,204.245,143.543,143.878,173.263,131.782,146.462,111.581,156.494,181.998,191.794,178.458,197.807,179.92,160.879,190.199,205.101,212.311,275.51,150.649,211.033,184.495,99.512,196.255,135.295,161.938,176.804,186.247,171.558,190.866,202.093,175.439,142.182,199.48,104.632,232.75,174.369,118.565,147.777,187.414,136.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,b_1,B-1,b,7,1,6.01,3.3,5.5,9.5,15,3.9,,,,11,15.5,21.6,NA,5.3,4.6,37.274,23.437,24.854,32.197,35.572,27.816,30.702,30.737,27.816,23.574,30.841,30.841,24.897,25.025,25.025,24.897,22.124,26.356,20.932,27.816,30.737,20.52,29.386,23.574,26.478,23.437,28.122,22.696,24.897,19.062,20.932,27.931,22.124,21.287,27.778,29.567,30.737,28.122,24.897,31.013,27.816,33.657,26.478,30.702,19.229,40.962,27.816,35.209,29.276,29.386,26.356,33.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.241,209.478,184.68,136.749,182.28,216.552,192.611,197.634,233.117,194.889,288.738,186.963,179.086,292.401,259.366,241.051,159.216,237.725,198.281,286.169,303.14,237.994,264.878,187.705,273.657,261.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.461,113.179,162.307,155.961,144.729,269.3,145.473,152.748,217.34,151.603,130.781,168.896,211.519,137.924,135.461,196.69,162.938,209.651,263.324,144.019,143.64,196.826,161.356,135.01,166.134,196.69,214.574,180.418,145.473,220.251,176.925,176.465,114.792,216.517,188.097,198.427,149.237,174.859,152.3,133.394,157.413,159.899,128.954,151.779,133.049,104.458,146.381,219.887,172.911,147.842,164.062,164.16,177.196,181.763,161.938,185.344,233.63,166.981,214.295,177.389,171.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,b_2,B-2,b,7,2,6.55,2,5.6,9.6,13.9,3.966666667,,,,9,14.2,20.5,39.3,10.1,7.033333333,23.392,20.468,23.392,26.316,26.356,42.799,35.209,24.897,31.013,22.124,32.461,26.316,28.122,33.911,33.626,27.931,23.437,21.979,26.356,26.316,25.025,30.841,27.931,26.316,20.52,29.386,33.911,38.459,29.276,35.209,23.437,23.799,23.392,28.387,35.361,33.911,22.696,30.737,32.461,27.816,32.197,27.816,32.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.026,NA,169.899,204.396,260.825,296.766,156.603,222.703,272.699,NA,253.637,358.044,229.267,298.081,218.326,221.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.037,113.716,159.034,189.411,150.819,212.492,196.451,180.826,159.034,171.95,168.535,268.441,182.608,NA,309.365,164.531,268.441,224.161,207.633,233.356,237.491,208.757,173.903,159.464,171.209,130.642,219.6,191.319,192.194,210.714,300.509,161.243,177.052,81.884,232.327,128.954,164.394,200.724,242.822,181.763,150.727,227.967,120.452,150.698,174.093,271.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,b_3,B-3,b,7,3,5.8,6.2,11.3,16.8,19.2,4.333333333,,,,7.2,11.3,16.6,29.7,7.5,5.916666667,32.296,38.124,36.666,26.316,24.854,29.276,27.931,26.478,29.276,33.657,26.316,30.737,38.264,33.657,33.626,27.816,32.164,30.702,19.062,38.012,20.676,31.013,27.778,29.386,25.025,27.816,27.816,26.316,29.386,30.737,36.666,21.93,27.931,32.296,32.164,25.238,36.666,27.816,32.197,29.24,33.657,32.197,35.118,26.316,27.931,30.702,30.737,35.118,37.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.722,200.34,152.11,190.148,267.608,307.031,263.158,327.489,201.76,141.933,147.668,292.489,193.121,318.767,255.952,242.694,204.678,289.566,184.216,98.128,283.626,247.08,214.917,181.292,258.776,163.076,149.13,141.82,176.955,184.211,230.999,232.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.623,242.761,139.081,154.978,143.305,217.836,175.658,168.357,185.678,178.369,191.571,252.924,206.327,133.041,185.673,236.914,133.169,242.761,184.216,130.125,118.43,174.075,229.574,213.495,212.069,245.684,214.992,146.206,128.73,134.535,207.607,156.494,217.856,98.128,130.117,206.14,205.012,198.83,160.825,200.554,241.268,220.804,150.592,197.417,196.255,172.539,140.358,182.772,135.996,213.455,260.271,168.135,146.206,140.723,115.58,140.419,179.92,225.265,209.069,236.955,134.503,255.915,172.521,176.925,204.809,213.45,220.765,254.386,193.005,160.825,185.724,168.135,169.597,168.186,138.897,206.146,171.053,169.591,213.455,271.946,219.342,252.924,203.237,236.883,166.692,118.745,225.151,149.187,307.518,194.45,225.45,223.703,125.807,279.378,155.659,153.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,b_4,b-4,b,7,4,6.3,8.3,12.5,14,17.5,3.066666667,,,,8.2,11,16,20.2,4,3.533333333,38.04,30.702,29.24,24.897,33.626,46.875,32.164,27.816,30.737,35.088,42.498,38.012,39.905,36.579,27.816,38.124,38.012,24.897,32.197,41.351,27.931,35.118,33.657,29.24,32.984,33.911,36.579,38.04,46.806,41.04,26.316,33.753,33.657,36.55,24.854,36.666,32.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.724,210.572,184.263,206.187,169.748,155,223.684,186,173.983,178.578,159.384,147.661,195.956,128.73,223.804,261.696,301.258,264.684,185.954,260.271,207.685,193.121,154.971,346.741,264.636,277.966,316.006,187.157,254.592,235.421,201.754,197.634,121.354,286.55,244.222,277.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.902,213.575,169.616,152.054,130.125,159.363,184.303,253.637,171.059,146.228,181.763,143.305,162.307,168.287,89.373,153.537,135.295,108.227,134.503,166.981,159.464,181.434,183.332,165.366,111.265,109.649,150.649,131.587,152.047,187.34,109.688,133.169,105.354,136.091,117.105,214.912,217.856,144.744,166.692,157.902,174.001,137.458,199.024,130.322,108.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,b_6,b-6,b,7,6,5.96,9.4,12.9,18.3,24.6,5.066666667,,,,11.5,16.4,22.5,30.2,6.233333333,5.65,30.737,19.062,26.316,26.356,19.006,30.737,26.316,35.118,27.816,27.778,32.197,29.276,19.062,27.931,29.24,31.013,36.812,27.778,26.478,24.897,17.605,20.676,26.316,21.93,29.24,20.52,23.437,33.626,31.254,32.197,32.197,27.778,23.437,27.816,23.437,27.816,34.13,24.897,33.911,26.356,25.025,29.386,20.52,26.478,29.819,27.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.895,113.518,107.215,221.345,224.262,98.128,137.427,132.098,116.088,225.62,207.154,134.503,122.056,211.665,187.34,260.419,305.947,170.1,140.381,171.277,176.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.861,188.687,99.941,194.889,264.47,239.427,270.661,131.294,117.406,128.954,136.6,149.474,182.895,149.28,191.721,130.322,143.543,239.877,181.998,306.059,204.699,169.817,128.954,221.577,173.016,100.484,163.39,154.508,155.143,108.67,171.209,165.521,130.248,150.613,173.404,136.036,166.827,131.782,189.411,141.813,202.014,145.979,140.473,199.737,144.855,134.511,100.101,131.782,209.926,228.37,164.062,152.054,172.911,185.044,145.002,169.956,190.109,96.768,225.265,184.419,196.255,196.348,178.512,186.041,115.58,101.258,236.883,92.117,133.169,116.244,140.419,188.738,266.407,169.748,146.462,93.499,40.962,109.805,160.879,89.767,118.565,187.5,180.826,90.655,194.889,123.024,93.04,130.412,211.519,133.113,149.987,110.436,172.453,114.372,161.058,216.616,167.441,167.307,173.263,178.656,122.946,208.019,189.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,b_7,b-7,b,7,7,5.92,2.4,5.2,12,17.4,5,,,,5.8,10.6,16,22.6,5.6,5.3,29.24,39.582,20.52,26.356,30.841,26.316,33.626,33.753,38.04,38.04,32.197,17.605,26.316,28.387,22.364,33.657,35.118,32.691,30.737,36.579,28.122,33.657,24.854,24.854,35.088,33.753,36.55,26.356,33.657,21.93,29.24,33.626,35.209,26.356,32.164,24.897,21.93,29.276,29.386,26.356,36.579,35.209,32.296,35.118,35.209,21.93,35.118,39.501,38.04,25.238,26.478,30.841,22.124,40.936,36.55,NA,NA,NA,NA,NA,NA,300.064,263.418,217.34,200.554,281.082,239.806,164.062,149.237,296.03,257.459,211.256,216.498,273.954,244.432,169.993,146.928,150.84,232.456,301.343,200.634,144.803,187.14,241.976,198.023,165.618,137.551,176.925,238.416,312.92,244.31,146.666,176.925,156.433,224.757,164.531,247.353,185.954,315.911,156.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.77,211.993,165.263,200.314,255.952,253.637,201.887,129.061,109.737,219.474,143.342,209.478,241.587,215.156,183.122,112.659,240.518,143.394,111.198,176.955,121.662,232.915,163.906,191.66,192.078,210.653,215.315,184.495,204.809,157.114,130.15,187.5,244.681,169.748,145.098,178.746,265.023,228.239,141.933,197.563,118.646,255.952,139.166,174.369,169.591,274.858,124.69,226.651,206.223,153.516,219.42,245.723,178.656,231.161,209.315,134.535,222.241,153.571,193.431,149.237,146.666,131.871,156.603,139.166,131.652,157.902,207.731,138.92,171.059,97.197,195.956,288.546,174.001,211.14,178.416,147.777,174.075,149.187,133.842,163.977,133.434,181.434,172.57,155.143,193.071,226.778,146.666,181.381,153.85,172.911,184.263,146.557,200.426,245.008,81.871,119.963,175.493,182.895,201.802,172.818,167.185,178.363,225.317,168.643,181.287,152.748,241.671,157.956,162.287,200.34,186.138,143.543,222.458,252.962,74.576,121.424,181.31,175.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
